strategy_id,evaluated_points,signals_raw__webpro,signals_deduped__webpro,bull_hits_raw__webpro,bull_precision_raw__webpro,bull_hits_deduped__webpro,bull_precision_deduped__webpro,joint_hits_deduped__webpro,joint_precision_deduped__webpro,strict_low_rate_deduped__webpro,distinct_stocks__webpro,distinct_dates__webpro,censored_signals__webpro,hhi_date_concentration__webpro,bull_wilson_low__webpro,bull_wilson_high__webpro,joint_wilson_low__webpro,joint_wilson_high__webpro,baseline__webpro,lift__webpro,signals_raw__low60,signals_deduped__low60,bull_hits_raw__low60,bull_precision_raw__low60,bull_hits_deduped__low60,bull_precision_deduped__low60,joint_hits_deduped__low60,joint_precision_deduped__low60,strict_low_rate_deduped__low60,distinct_stocks__low60,distinct_dates__low60,censored_signals__low60,hhi_date_concentration__low60,bull_wilson_low__low60,bull_wilson_high__low60,joint_wilson_low__low60,joint_wilson_high__low60,baseline__low60,lift__low60,signals_raw__low504,signals_deduped__low504,bull_hits_raw__low504,bull_precision_raw__low504,bull_hits_deduped__low504,bull_precision_deduped__low504,joint_hits_deduped__low504,joint_precision_deduped__low504,strict_low_rate_deduped__low504,distinct_stocks__low504,distinct_dates__low504,censored_signals__low504,hhi_date_concentration__low504,bull_wilson_low__low504,bull_wilson_high__low504,joint_wilson_low__low504,joint_wilson_high__low504,baseline__low504,lift__low504
washout_complete,5916,5755,4499,382,0.06637706342311034,281,0.06245832407201601,281,0.06245832407201601,0.9370971326961547,2567,405,161,0.03391171217273296,0.05575377078770412,0.06990942743844207,0.05575377078770412,0.06990942743844207,0.03034793997315741,2.058074588497936,5561,4350,5,0.0008991188635137566,3,0.000689655172413793,3,0.000689655172413793,0.6303448275862069,2538,376,355,0.03612894702074251,0.00023457209131095007,0.0020258360824308283,0.00023457209131095007,0.0020258360824308283,0.0007520328727222289,0.9170545562953394,1682,1397,77,0.045778834720570746,67,0.047959914101646385,29,0.020758768790264854,0.22476735862562633,1301,105,4234,0.17576522756351298,0.037941317841105285,0.06045772507181414,0.014491994578051169,0.029653942445226032,0.04695598442435639,1.0213802285182045
atr_trend_follow,38463,37800,17431,2484,0.06571428571428571,994,0.05702484080087201,993,0.05696747174574035,0.9601285066834949,3168,633,663,0.014182636880102075,0.053678976695315093,0.06056590838294724,0.053623246482299124,0.0605069257662123,0.03034793997315741,1.8790349806711815,36098,16424,43,0.0011912017286276248,18,0.001095957135898685,18,0.001095957135898685,0.7006210423770093,3159,587,2365,0.015567957824423358,0.0006933839126535214,0.0017318561239370333,0.0006933839126535214,0.0017318561239370333,0.0007520328727222289,1.4573261032214053,11002,5322,514,0.04671877840392656,229,0.04302893649004134,115,0.021608417888012026,0.23581360390830514,2771,192,27461,0.03172927645994073,0.03789874627633884,0.04881834104059381,0.01803325294029418,0.02587369784461969,0.04695598442435639,0.9163674666294918
strict_washout_complete,19897,19351,11019,1212,0.06263242209704925,616,0.05590343951356747,614,0.05572193483982212,0.9421000090752337,3114,532,546,0.028231471515251304,0.05176668470359901,0.06034972951115406,0.05159179304380638,0.060161738332166585,0.03034793997315741,1.8420835009893182,18800,10691,16,0.000851063829787234,9,0.0008418295762791133,9,0.0008418295762791133,0.6775792722850996,3108,495,1097,0.02990070271102476,0.0004429637617867446,0.0015992786505755374,0.0004429637617867446,0.0015992786505755374,0.0007520328727222289,1.119405290398857,5243,3350,246,0.04691970246042342,155,0.04626865671641791,61,0.018208955223880597,0.22298507462686568,2471,142,14654,0.13408509690354195,0.039659980857856325,0.05391673189798446,0.014202162659000145,0.023319425754109745,0.04695598442435639,0.9853622979825771
platform_breakout,1537,1514,1361,87,0.05746367239101717,76,0.055841293166789124,76,0.055841293166789124,0.9529757531227039,1213,238,23,0.01929957064677235,0.04484575583621365,0.0693370731022849,0.04484575583621365,0.0693370731022849,0.03034793997315741,1.8400357064163317,1502,1349,0,0.0,0,0.0,0,0.0,0.6819866567828021,1203,228,35,0.019634564438639163,0.0,0.002839548415409165,0.0,0.002839548415409165,0.0007520328727222289,0.0,451,427,12,0.026607538802660754,11,0.02576112412177986,7,0.01639344262295082,0.17798594847775176,427,72,1086,0.0412496092228883,0.014444329629308826,0.04553471438244382,0.007963177308702142,0.03344755152303574,0.04695598442435639,0.5486228100122077
strict_washout_complete_v2,23412,22770,12059,1388,0.06095740008783487,655,0.05431627829836636,653,0.05415042706692097,0.9456837217016336,3127,549,642,0.026545927501969293,0.050411251980946474,0.05850516404804607,0.05025127350423363,0.058333545693808685,0.03034793997315741,1.7897846887271036,22130,11703,19,0.0008585630366018978,11,0.0009399299324959412,11,0.0009399299324959412,0.6796547893702469,3122,511,1282,0.02809737972873566,0.0005249381220412445,0.0016824428279436463,0.0005249381220412445,0.0016824428279436463,0.0007520328727222289,1.2498521894309718,6169,3691,277,0.0449019289998379,162,0.043890544567867784,67,0.01815226225955026,0.2167434299647792,2586,153,17243,0.12085963932419329,0.037742499401753005,0.050987006985601796,0.014319529657224533,0.02298693135252333,0.04695598442435639,0.9347167375134714
obv_volume_price,77978,76693,23588,4482,0.0584407964220985,1115,0.047269798202475836,1115,0.047269798202475836,0.9705358656944209,3180,676,1285,0.010697093675445782,0.0446345420226497,0.05005249047203031,0.0446345420226497,0.05005249047203031,0.03034793997315741,1.557594955185944,72985,21856,84,0.0011509214222100432,21,0.0009608345534407028,21,0.0009608345534407028,0.7206716691068814,3173,631,4993,0.011606516981107805,0.00062855848446285,0.0014685042461635234,0.00062855848446285,0.0014685042461635234,0.0007520328727222289,1.2776496723642516,21847,7505,974,0.044582780244427155,316,0.042105263157894736,152,0.020253164556962026,0.23411059293804132,2900,214,56131,0.03413504033065231,0.0377910469947566,0.046887989352956704,0.017303018674945728,0.023694179162953806,0.04695598442435639,0.8966964205749768
strict_first_board_breakout_v2,16643,16420,10962,766,0.04665042630937881,515,0.046980478014960775,515,0.046980478014960775,0.9760080277321657,3133,569,223,0.01389996944545888,0.04317561878169347,0.051102733016753665,0.04317561878169347,0.051102733016753665,0.03034793997315741,1.548061517734474,15878,10518,15,0.0009447033631439728,11,0.001045826202700133,11,0.001045826202700133,0.7586993725042784,3120,527,765,0.014941291165181168,0.0005840895460464623,0.0018718929853221945,0.0005840895460464623,0.0018718929853221945,0.0007520328727222289,1.3906655422048548,4918,3333,232,0.04717364782431883,140,0.04200420042004201,81,0.024302430243024302,0.264026402640264,2339,161,11725,0.024825434838713398,0.035704806364126235,0.04935810786884705,0.019596726553968803,0.030103404802977893,0.04695598442435639,0.8945441339369331
bollinger_squeeze,48501,47903,21946,2229,0.04653153247187024,956,0.043561469060421035,955,0.04351590267019047,0.965779640936845,3177,685,598,0.00850987323142048,0.0409398683662007,0.0463428330790437,0.040895657496512486,0.046295927117489546,0.03034793997315741,1.4354011869982253,46423,21009,59,0.0012709217413781962,23,0.0010947689085629968,23,0.0010947689085629968,0.7404921700223713,3172,637,2078,0.009100381674820865,0.000729643361716217,0.0016423089950542596,0.000729643361716217,0.0016423089950542596,0.0007520328727222289,1.4557460827478494,15013,7285,527,0.035102910810630786,287,0.03939601921757035,145,0.01990391214824983,0.22251201098146878,2900,225,33488,0.01996175893810629,0.03516619555881208,0.04411134972534432,0.016940536000569335,0.023373341106072594,0.04695598442435639,0.8389988986608353
first_board_breakout,5803,5749,4556,246,0.042790050443555404,192,0.04214223002633889,192,0.04214223002633889,0.9817822651448639,2584,410,54,0.014007520112601275,0.03668368181114468,0.04837222689165505,0.03668368181114468,0.04837222689165505,0.03034793997315741,1.38863560635791,5595,4420,5,0.0008936550491510277,5,0.0011312217194570137,5,0.0011312217194570137,0.7794117647058824,2557,383,208,0.014786347535881738,0.00048328405999071536,0.0026455484150284007,0.00048328405999071536,0.0026455484150284007,0.0007520328727222289,1.5042184464120387,1545,1269,59,0.038187702265372166,51,0.04018912529550828,27,0.02127659574468085,0.256107171000788,1162,118,4258,0.02385117374303029,0.03069830093042524,0.05245538493297975,0.0146632062429353,0.030779577239530037,0.04695598442435639,0.8558893139648863
strict_platform_breakout,13206,13034,9485,554,0.042504219733005985,392,0.041328413284132844,392,0.041328413284132844,0.9665788086452293,3088,557,172,0.008804079576302954,0.03750481531949855,0.045523388096033054,0.03750481531949855,0.045523388096033054,0.03034793997315741,1.3618193960014289,12663,9208,13,0.0010266129669114744,10,0.0010860121633362294,10,0.0010860121633362294,0.7258905299739357,3078,515,543,0.009277855693043709,0.0005900233547640688,0.0019981083371752245,0.0005900233547640688,0.0019981083371752245,0.0007520328727222289,1.444101983740489,4265,3119,193,0.04525205158264947,140,0.04488618146841936,80,0.025649246553382493,0.21705674895799937,2240,164,8941,0.020935405982692928,0.038162463826005515,0.05272958515040447,0.02065756106812863,0.03180794542049312,0.04695598442435639,0.9559203585802494
strict_platform_breakout_v2,19777,19538,12978,806,0.041252942982905105,522,0.04022191400832178,522,0.04022191400832178,0.9681769147788565,3154,597,239,0.008464696505847552,0.036975385253366445,0.04374054877991538,0.036975385253366445,0.04374054877991538,0.03034793997315741,1.325358954970184,18906,12537,25,0.0013223315349624458,15,0.0011964584828906438,15,0.0011964584828906438,0.7236180904522613,3148,553,871,0.008985873697082288,0.000725229928994361,0.001973269923014492,0.000725229928994361,0.001973269923014492,0.0007520328727222289,1.5909656695719576,6290,4270,276,0.043879173290937996,181,0.042388758782201406,95,0.02224824355971897,0.21498829039812647,2607,187,13487,0.020304614186443186,0.036745780827198836,0.048854366568451844,0.018235039260034024,0.02712028350717549,0.04695598442435639,0.9027338964746326
